Run,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA
Run 1,Ct,NI,Average,Ct-NI-1,50.6267933333333,6.93058,23.4206066666667,7.29111666666667,1.88688666666667,0.59571,7.73835333333333,16.71289,7.45813,1.12698333333333
Run 1,Ct,NI,SD,Ct-NI-2,3.69420524878266,0.69159275827614,2.08672038592461,0.818124411402895,0.165573501603769,0.213813243977075,0.905578164507809,1.60435503829421,1.54130853883964,0.150720214415099
Run 1,Ct,NI,CV (%),Ct-NI-3,7.29693706741318,9.9788583102156,8.90976231155672,11.2208382996143,8.7749574221258,35.8921696760294,11.7024659575441,9.59950695717024,20.6661527600034,13.3737749225898
Run 2,Ct,NI,Average,Ct-NI-1,34.43204,8.54107,13.8449433333333,7.39797666666667,0.933436666666667,0.128693333333333,3.11269333333333,11.9437166666667,5.60043666666667,1.05953333333333
Run 2,Ct,NI,SD,Ct-NI-2,1.66108039639868,1.11065647645886,1.23223498856076,1.00423837560279,0.0204757767455433,0.00770135269503568,0.361748701771455,1.10724295989333,0.741240184173344,0.0302233623763693
Run 2,Ct,NI,CV (%),Ct-NI-3,4.82422881827124,13.0037158864037,8.90025303024543,13.5745004458803,2.19359036094682,5.98426701334104,11.6217263646742,9.27050591365329,13.2353998141813,2.85251642638609
Run 3,Ct,NI,Average,Ct-NI-1,60.2202126666667,31.2919086666667,22.715787,20.203853,5.765408,19.829053,21.2958036666667,16.728769,14.7890996666667,2.294423
Run 3,Ct,NI,SD,Ct-NI-2,8.01646210382843,4.05301011284284,2.61203521524366,2.61117802156479,1.01161727890196,12.971241309781,3.26875931882944,2.17039409186465,1.77330653558101,0.427825597652829
Run 3,Ct,NI,CV (%),Ct-NI-3,13.3119126433536,12.9522623756098,11.4987661014943,12.9241586818355,17.5463259304799,65.4153343065904,15.3493118644114,12.9740215306019,11.9906321246714,18.6463262289835
Run 4,Ct,NI,Average,Ct-NI-1,52.4032636666667,22.129605,16.4276483333333,12.7848716666667,3.68138266666667,47.178818,13.0139683333333,10.7660033333333,8.219161,1.10943133333333
Run 4,Ct,NI,SD,Ct-NI-2,1.64152953827622,0.709260292482245,0.558201648206393,0.587496504249458,0.522031229646592,5.23520251473112,0.757222289761952,0.612591926151768,0.285710183372942,0.40380534932605
Run 4,Ct,NI,CV (%),Ct-NI-3,3.13249485512557,3.2050291565631,3.39794008783197,4.59524756733543,14.1803033510577,11.096510545752,5.81853490316587,5.69005885642896,3.47614778896462,36.3975071907155
Run 5,Ct,NI,Average,Ct-NI-1,85.510523,15.901586,11.3868223333333,9.40729533333333,3.800919,5.31706533333333,10.658028,7.705848,4.10992266666667,1.930593
Run 5,Ct,NI,SD,Ct-NI-2,6.20981701445695,0.590274193029816,0.410150457813146,0.126789736944018,0.348118626630349,2.69553476172583,0.833827426681924,0.308465513714256,0.126418504912585,0.219548221384278
Run 5,Ct,NI,CV (%),Ct-NI-3,7.2620500923108,3.71204603760792,3.60197468447794,1.34778097690585,9.15880150643434,50.6959119879004,7.82346815641622,4.00300542801073,3.07593390838947,11.372061402081
Run 6,Ct,NI,Average,Ct-NI-1,146.554594333333,31.8867976666667,20.4284296666667,17.376853,9.610883,48.1038343333333,24.1715066666667,16.413115,8.658166,5.57409266666667
Run 6,Ct,NI,SD,Ct-NI-2,6.34188963779853,1.44235428632231,0.710214284770683,0.538554627870748,0.352492806345037,20.2892115157009,1.18471422636108,0.606868970819072,0.319175295718513,0.223228927922286
Run 6,Ct,NI,CV (%),Ct-NI-3,4.32732229695518,4.52335885654048,3.47659754743434,3.09926445180119,3.66764225872937,42.1779506704346,4.90128415534328,3.69746371008228,3.68640767246219,4.00475810632294
Run 1,JL885,NI,Average,JL885-NI-1,0.117833333333333,0.0274533333333333,0.02846,0.0441633333333333,0.0058,0.0104933333333333,0.0199266666666667,0.00267,0.174293333333333,0.00368
Run 1,JL885,NI,SD,JL885-NI-2,0.0285236819736396,0.00699261276872482,0.0143711620963651,0.0298370178357914,0.00533241971341341,0.0062529219836276,0.00558161565618176,0.00152685952202552,0.134931553142078,0.00073613857391119
Run 1,JL885,NI,CV (%),JL885-NI-3,24.2068022407126,25.4709061512561,50.4960017440798,67.5606109950745,91.9382709209209,59.5894725250409,28.010784490708,57.1857498885963,77.4163592843931,20.0037655954128
Run 6,JL885,NI,Average,JL885-NI-1,0.241927666666667,0.102875,0.0876876666666667,0.042561,0.0475546666666667,1.08955866666667,0.169196,6.33614233333333,4.86421966666667,0.0498296666666667
Run 6,JL885,NI,SD,JL885-NI-2,0.0332148222986867,0.00715012314579267,0.00465939806555883,0.0083475680290729,0.0082027142052697,0.537760711671403,0.00551283946800558,0.0774301242691327,0.0564015360813279,0.00810973891893773
Run 6,JL885,NI,CV (%),JL885-NI-3,13.729236823687,6.95030196431851,5.31362988967528,19.6131858487181,17.2490205067915,49.3558289354529,3.25825638195086,1.22203890310018,1.15951868843083,16.2749210689838
Run 1,JL885,R,Average,JL885-R-1,0.132863333333333,0.0261233333333333,0.0348066666666667,0.07959,0.00524,0.00788666666666667,0.02336,0.00260666666666667,0.29542,0.00337333333333333
Run 1,JL885,R,SD,JL885-R-2,0.0276164196327716,0.00159199036848008,0.0108992400346691,0.0167897677172735,0.00267260172865319,0.0028555268048704,0.0107161746906254,0.000427707064862545,0.0674679190430533,0.00379874101951335
